id;type;width;height;nkernels;kwidth;kheight;hstride;vstride
1;input;224;224;3;;;;
2;conv;224;224;64;3;3;1;1
3;conv;224;224;64;3;3;1;1
4;mpool;112;112;64;1;1;2;2
5;conv;112;112;128;3;3;1;1
6;conv;112;112;128;3;3;1;1
7;mpool;56;56;128;1;1;2;2
8;conv;56;56;256;3;3;1;1
9;conv;56;56;256;3;3;1;1
10;conv;56;56;256;3;3;1;1
11;mpool;28;28;256;1;1;2;2
12;conv;28;28;512;3;3;1;1
13;conv;28;28;512;3;3;1;1
14;conv;28;28;512;3;3;1;1
15;mpool;14;14;512;1;1;2;2
16;conv;14;14;512;3;3;1;1
17;conv;14;14;512;3;3;1;1
18;conv;14;14;512;3;3;1;1
19;mpool;7;7;512;1;1;2;2
20;fc;1;1;4096;1;;;
21;fc;1;1;4096;1;;;
22;fc;1;1;1001;1;;;
